text,user_location,tweet_date,time,city
Caraí TO tristona,"Rio Verde, Brasil",2021-04-01,04:50:14,Rio Verde
A covid-19 está matando tanta gente aqui no Brasil que é assustador 😟,"Rio de Janeiro, Brasil",2021-04-01,04:52:02,Rio de Janeiro
Vai com Deus anjinho :(,"Rio de Janeiro, Brasil",2021-04-01,04:45:38,Rio de Janeiro
"A intenção da PGR é q igrejas e templos possam ser liberados a funcionar c/ a #COVID19 EXPLODINDO NO PAÍS. Argumenta q a abertura ""garante a saúde mental e espiritual da população em um dos piores momentos da pandemia no Brasil"" Conta outra PGR !!!","São Paulo, Brasil",2021-04-01,04:53:31,São Paulo
curiosidade: esse ano vai ter olimpíadas e está ocorrendo revezamento da tocha 💀,"Fortaleza, Brasil",2021-04-01,04:48:12,Fortaleza
isso aqui acabo cmg,"Cuiabá, Brasil",2021-04-01,04:56:46,Cuiabá
"Descanse em paz, João Acaiabe. Eterno Tio Barnabé Marcou minha infância todinha, queria que fosse só uma pegadinha de primeiro de abril. Mais uma vida levada pela COVID-19 😭","Maceió, Brasil",2021-04-01,04:55:04,Maceió
O CHICO NÃO GENTE 😭😭😭😭😭😭,"Salvador, Brasil",2021-04-01,05:01:55,Salvador
Não vai ter GP do Brasil esse ano. Anota aí...,"Porto Alegre, Brasil",2021-04-01,05:03:36,Porto Alegre
Alagoas confirma mais 624 novos casos e 21 mortes por Covid-19 no estado,"Alagoas, Brasil",2021-04-01,05:00:00,Alagoas
GENTE EU COU CHORA,"Salvador, Brasil",2021-04-01,05:01:41,Salvador
Eu não acredito😭😭😭,"São Paulo, Brasil",2021-04-01,05:00:52,São Paulo
"Ironia que quando Gerson morreu, noticiaram que quem tinha falecido era o João e ele teve que avisar que tava vivão. Covid-19 maldita do caralho.","Aparecida de Goiânia, Brasil",2021-04-01,05:01:45,Aparecida de Goiânia
O Chef Chico cara... Meus pêsames a família nesse momento tão difícil,"Xexéu, Brasil",2021-04-01,04:58:53,Xexéu
